concept_id,name,type,discipline,related_concepts
C000538,SAT solving,algorithm,computer science / logic,Boolean satisfiability; constraint solving
C000539,symbolic regression,method,scientific discovery / machine learning,expression search; interpretable models
C000540,equation discovery,method,scientific discovery,governing equations; data-driven discovery
C000541,active learning,method,machine learning / experimental design,query strategy; label efficiency
C000542,Bayesian optimization,method,optimization / machine learning,surrogate model; acquisition function
C000543,reinforcement learning,framework,machine learning / decision making,policy; reward; sequential decision
C000544,Q-learning,algorithm,reinforcement learning,action-value function; temporal-difference learning
C000545,policy gradient,method,reinforcement learning,policy optimization; gradient estimator
C000546,Monte Carlo tree search,algorithm,search / decision making,tree search; simulation; UCT
C000547,graph search,method,computer science,state space; traversal; pathfinding
C000548,A* search,algorithm,graph algorithms / artificial intelligence,heuristic search; shortest path
C000549,PageRank,algorithm,network science / information retrieval,random walk; link analysis; centrality
C000550,eigenvector centrality,model,network science,spectral centrality; adjacency matrix
C000551,neural network architecture,framework,machine learning,layers; connectivity; representation learning
C000552,transformer,model,machine learning / natural language processing,self-attention; sequence modeling
C000553,convolutional neural network,model,machine learning / computer vision,convolution; feature maps; CNN
C000554,neural architecture search,method,machine learning / automated design,architecture optimization; NAS
C000555,ensemble learning,framework,machine learning / statistics,model aggregation; variance reduction
C000556,random forest,model,machine learning / statistics,decision trees; bagging; feature subsampling
C000557,gradient boosting,method,machine learning / statistics,additive model; weak learners; boosting
C000558,dimensionality reduction,method,statistics / machine learning,embedding; feature reduction
C000559,principal component analysis,method,statistics / linear algebra,eigenvectors; variance; PCA
C000560,t-SNE,method,machine learning / visualization,nonlinear embedding; neighborhood preservation
C000561,UMAP,method,machine learning / topology,manifold learning; nonlinear embedding
C000562,latent Dirichlet allocation,model,machine learning / text analysis,topic model; document-term distribution
C000563,ordinary least squares,method,statistics / econometrics,linear regression; squared error; OLS
C000564,logistic regression,model,statistics / machine learning,binary outcome; logit link
C000565,generalized linear model,model,statistics,link function; exponential family; GLM
C000566,Cox proportional hazards model,model,survival analysis / biostatistics,hazard ratio; censored data
C000567,interrupted time series,method,causal inference / policy evaluation,level change; slope change; intervention
C000568,quasi-experimental design,experimental_paradigm,causal inference / research design,nonrandomized comparison; identification
C000569,regression discontinuity design,method,econometrics / causal inference,cutoff; local treatment effect; RDD
C000570,instrumental variables,method,econometrics / causal inference,instrument; endogeneity; IV
C000571,propensity score matching,method,causal inference / epidemiology,treatment assignment; matching; PSM
C000572,randomized controlled trial,experimental_paradigm,experimental design / medicine,randomization; control group; RCT
C000573,factorial design,experimental_paradigm,experimental design,factors; interactions; treatment combinations
C000574,response surface methodology,method,experimental design / optimization,design of experiments; response surface; RSM
C000612,surface code,model,quantum computing,topological stabilizer code; local checks; fault tolerance
C000681,CRISPR–Cas,method,molecular biology / genetics,genome editing
C000690,Kalman filter,method,control / signal processing,state estimation
C000697,difference-in-differences,method,econometrics,causal inference
C000718,Schrödinger equation,equation,quantum mechanics,Hamiltonian; wave function
C000724,Shor's algorithm,algorithm,quantum computing,integer factorization; period finding
C000734,Dijkstra's algorithm,algorithm,graph algorithms,shortest path
